blockNumber;questionNumber;content;roleEngName
1;1;Я думаю, что способен быстро замечать новые возможности и извлекать из них выгоды;Resource Investigator
1;2;Я могу успешно работать с самыми разными людьми;Team Worker
1;3;Генерация идей — моё врожденное достоинство;Plant
1;4;Моим достоинством является умение находить людей, способных принести пользу команде;Coordinator
1;5;Моя способность доводить всё до конца во многом обеспечила мою профессиональную эффективность;Finisher
1;6;Я готов перенести временную непопулярность, если вижу, что мои действия принесут в конечном счете полезные результаты;Shaper
1;7;Я быстро выясняю, что сработает в данной ситуации, если в подобную ситуацию я уже попадал;Implementer
1;8;Личные заблуждения и предубеждения не мешают мне находить и доказывать преимущества альтернативных действий;Monitor Evaluator
2;1;Я чувствую себя неуверенно на совещании, если отсутствуют четкая повестка дня и контроль за её соблюдением;Implementer
2;2;Я склонен быть слишком великодушным к людям, имеющим правильную точку зрения, но не высказывающим её открыто;Coordinator
2;3;Я склонен слишком много говорить, когда в группе обсуждаются новые идеи;Resource Investigator
2;4;Вследствие моей осмотрительности я не склонен быстро и с энтузиазмом присоединяться к мнению коллег;Monitor Evaluator
2;5;Я иногда выгляжу авторитарным и нетерпимым, когда чувствую необходимость достичь чего-то;Shaper
2;6;Мне трудно повести людей за собой, поскольку я слишком подвержен влиянию атмосферы, царящей в группе;Team Worker
2;7;Я слишком захвачен идеями, которые мне приходят в голову, и поэтому плохо слежу за тем, что происходит вокруг;Plant
2;8;Мои коллеги находят, что я слишком много внимания уделяю деталям и чрезмерно беспокоюсь о том, что дела идут неправильно;Finisher
3;1;Я умею влиять на людей, не оказывая на них давления;Coordinator
3;2;Врожденная осмотрительность предохраняет меня от ошибок, возникающих из-за невнимательности;Finisher
3;3;Я готов оказать давление, чтобы совещание не превращалось в пустую трату времени и не терялась из виду основная цель обсуждения;Shaper
3;4;Можно рассчитывать на поступление от меня оригинальных предложений;Plant
3;5;Я всегда готов поддержать любое предложение, если оно служит общим интересам;Team Worker
3;6;Я энергично ищу среди новых идей и разработок свежайшие;Resource Investigator
3;7;Я надеюсь, что моя способность выносить беспристрастные суждения признаётся всеми, кто меня знает;Monitor Evaluator
3;8;На меня можно возложить обязанности следить за тем, чтобы наиболее существенная работа была организована должным образом;Implementer
4;1;Я постоянно стараюсь лучше узнать своих коллег;Team Worker
4;2;Я неохотно возражаю своим коллегам и не люблю сам быть в меньшинстве;Shaper
4;3;Я обычно нахожу вескую аргументацию против плохих предложений;Monitor Evaluator
4;4;Я полагаю, что обладаю талантом быстро организовать исполнение одобренных планов;Implementer
4;5;Я обладаю способностью избегать очевидных решений и умею находить неожиданные;Plant
4;6;Я стремлюсь добиться совершенства при исполнении любой роли в командной работе;Finisher
4;7;Я умею устанавливать контакты с внешним окружением команды;Resource Investigator
4;8;Я способен воспринимать любые высказываемые мнения, но без колебаний подчиняюсь мнению большинства после принятия решения;Coordinator
5;1;Мне доставляет удовольствие анализ ситуаций и взвешивание всех шансов;Monitor Evaluator
5;2;Мне нравится находить практические решения проблем;Implementer
5;3;Мне нравиться сознавать, что я создаю хорошие рабочие взаимоотношения;Team Worker
5;4;Я способен оказывать сильное влияние на принятие решений;Shaper
5;5;Я получаю возможность встретиться с людьми, способными предложить что-то новое для меня;Resource Investigator
5;6;Я способен добиться согласия людей на реализацию необходимого курса действий;Coordinator
5;7;Я чувствую себя в своей стихии, когда могу уделить задаче все мое внимание;Finisher
5;8;Мне нравится находить задачи, требующие напряжения воображения;Plant
6;1;Я бы почувствовал необходимость сначала в одиночестве обдумать пути выхода из тупика, прежде чем начать действовать;Plant
6;2;Я был бы готов работать с человеком, указавшим наиболее позитивный подход, каковы бы ни были связанные с этим трудности;Monitor Evaluator
6;3;Я бы попытался найти способ разбиения задачи на части в соответствии с тем, что лучше всего умеют делать отдельные члены команды;Coordinator
6;4;Присущая мне обязательность помогла бы нам не отстать от графика;Finisher
6;5;Я надеюсь, мне бы удалось сохранить хладнокровие и способность логически мыслить;Monitor Evaluator
6;6;Я бы упорно добивался достижения цели, несмотря ни на какие помехи;Implementer
6;7;Я был бы готов действовать силой положительного примера при появлении признаков отсутствия прогресса в командной работе;Shaper
6;8;Я бы организовал дискуссию, чтобы стимулировать выдвижение новых идей и придать начальный импульс командной работе;Resource Investigator
7;1;Я склонен проявлять нетерпимость по отношению к людям, мешающим, по моему мнению, прогрессу в делах группы;Shaper
7;2;Окружающие иногда критикуют меня за чрезмерный рационализм и неспособность к интуитивным решениям;Monitor Evaluator
7;3;Мое стремление обеспечить условия, чтобы работа выполнялась правильно, может приводить к снижению темпов;Finisher
7;4;Я слишком быстро утрачиваю энтузиазм и стараюсь почерпнуть его у наиболее активных членов группы;Resource Investigator
7;5;Я тяжел на подъем, если не имею ясных целей;Implementer
7;6;Мне иногда бывает очень трудно разобраться во встретившихся мне сложностях;Plant
7;7;Я стесняюсь обратиться за помощью к другим, когда не могу что-либо сделать сам;Coordinator
7;8;Я испытываю затруднения при обосновании своей точки зрения, когда сталкиваюсь с серьезными возражениями;Team Worker
